char,pron
身魁,sin1 foi1
頭那,teu2 la1
光頭,gong1 teu2
頭那毛,teu2 la1 mau1
毛辮仔,mau1 bien1 zai3
頭鱗,teu2 lin1
頭皮,teu2 pi2
酒凹,ziu3 ngiap5
額門頭,ngiak5 mun2 teu2
梅子罌,moi2 zu1 ang1
腦囟,lau3 sim4
眼珠仁,ngan3 zu1 yin2
眼汁,ngan3 zip5
目睡毛,muk5 soi4 mau1
眼眉毛,ngan3 mi2 mau1
鼻公,pi4 gung1
鼻窿,pi4 lung1
鼻膿,pi4 lung2
擤鼻膿,sen4 pi4 lung2
鼻屎,pi4 si3
耳公,ngi3 gung1
耳屎,ngi3 si3
嘴角,zoi3 gok5
嘴唇,zoi4 sun2
舌嫲,set6 ma2
大牙,tai4 nga2
暴牙,pau4 nga2
牙床肉,nga2 cong1 ngiuk5
牙黃,nga2 vong2
鬚牯,si1 gu3
頦啱下,goi1 ngam1 ha1
口水,heu3 sui3
喉連,heu2 lien2
肩頭,gien1 teu2
心肝頭,sim1 gon1 teu2
背樑,boi4 long2
肋梗仔,lak6 gang1 zai3
打赤膊,da3 cak5 bok5
手臂,siu3 bi3
手踭,siu3 zang1
脈門,mak5 mun2
左手,zo3 siu3
右手,yiu4 siu3
手巴掌,siu3 ba1 zong3
手指仔,siu3 zi3 zai3
手指公,siu3 zi3 gung1
臘尾指,lap6 mui1 zi3
手指甲,siu3 zi3 gap5
肋坼下,lak6 cak5 ha1
嬭姑,len4 gu1
嬭頭,len4 teu2
嬭水,len4 sui3
肚胈,du3 pat6
肚臍,du3 ci2
屎窟門,si3 fut5 mun2
打脧鳥,da3 zoi1 diau1
髀罅,bi3 la4
褲襠下,fu4 long4 ha1
春袋,cun1 toi4
核卵,hak6 lon3
卵屎,lin3 si3
支屄,zi1 biet5
大髀,tai4 bi3
膝頭,cit5 teu2
腳囊肚,giok5 lang2 du3
腳眼仁,giok5 ngan3 yin2
腳踭,giok5 zang1
腳趾,giok5 zi3
腳盤,giok5 pan2
腳板心,giok5 ban3 sim1
腳跡,giok5 ziak5
老哥,lau3 go1
婦娘,bu1 ngiong2
老伯頭,lau3 bak5 teu2
老婆頭,lau3 po2 teu2
後生,heu4 sang1
妹仔,moi4 zai3
僬仔,ziau2 zai3
老弟仔,lau3 tai1 zai3
城市人,sang2 si4 ngin2
鄉下人,hiong1 ha4 ngin2
單身哥,dan1 sin1 go1
老姑婆,lau3 gu1 po2
守寡婆,siu3 ga3 po2
冇爺冇娭,mau2 ya2 mau2 oi1
孤兒,gu1 yi2
單眼,dan1 ngan3
眯眼,mi1 ngan3
爆眼,bau4 ngan3
對眼,dui4 ngan3
盲公,mang2 gung1
聾公,lung1 gung1
啞佬,a3 lau3
大舌頭,tai4 set6 teu2
結佬,giet5 lau3
缺嘴,kiet6 zoi4
缺牙,kiet5 nga2
側頭仔,zet5 teu2 zai3
左手仔,zo3 siu3 zai3
鴨嫲蹄,ap5 ma2 tai2
肥佬,pui2 lau3
高佬,gau1 lau3
爆牙,bau4 nga2
瘌痢頭,lat6 li2 teu2
六指,luk5 zi3
駝背佬,to2 boi4 lau3
叫包,giau4 bau2
懵佬,mung3 lau3
跛佬,bai1 lau3
傻佬,so2 lau3
撮仔,cot5 zai3
賊佬,cet6 lau3
攞食佬,lo3 sit5 lau3
契家佬,ke4 ga1 lau3
契家婆,ke4 ga1 po2
佮人,gap5 ngin2
老妓嫲,lau3 gi3 ma2
在行,cai4 hong2
唔在行,m1 cai4 hong2
伙頭,fo3 teu2
耕田佬,gang1 tien2 lau3
鬥木佬,dau4 muk5 lau3
木匠,muk5 siong4
打鐵佬,da3 tiet5 lau3
醫生,yi1 sang1
剃頭佬,tai4 teu2 lau3
泥水匠,lai2 sui3 siong4
生理佬,sen1 li1 lau3
生保人,sang1 bau3 ngin2
人客,ngin2 hak5
有性,yiu1 siang4
小相,siau3 siong4
大方,tai4 fong1
捨得,sa3 det5
能替,len2 tai4
勤力,kin2 lit6
慳儉,han1 kiam4
爽直,song3 cit6
牛王,ngiu2 vong2
刻簿,ket5 pok6
陰毒,yim1 tuk6
蠱惑,gu3 vak6
好心,hau3 sim1
老實,lau3 sit6
唔聲,m1 sang1
畏羞,vui4 siu1
可憐,ko3 lien2
齊整,ce2 zin1
就亼,ciu4 zip6
累贅,lui4 zui4
囉嗦,lo4 so4
聽話,tang4 va4
頑皮,ngan2 pi2
偷懶,teu1 lan1
磨嗦,mo4 so4
賴死,lai4 si3
下流,ha4 liu2
唔愛面,m1 oi4 mien4
講大話,gong3 tai4 va4
阿爸,a1 ba1
阿媽,a1 ma1
阿咪,a1 mi1
阿咪阿爸,a1 mi1 a1 ba1
爺娘,ya2 ngiong2
爺哀,ya2 oi1
阿公,a1 gung1
阿婆,a1 po2
公太,gung1 tai4
婆太,po2 tai4
姐公,zia3 gung1
姐婆,zia3 po2
阿伯,a1 bak5
阿叔,a1 suk5
叔姆,suk5 me1
姑丈,gu1 cong1
姑爺,gu1 ya2
大姑,tai4 gu1
姑仔,gu1 zai3
姨丈,yi2 cong1
大姨,tai4 yi2
姨仔,yi2 zai3
舅仔,kiu1 zai3
大舅娘,tai4 kiu1 ngiong2
舅娘仔,kiu1 ngiong2 zai3
阿哥,a1 go1
阿嫂,a1 sau3
阿姐,a1 zia3
姐夫,zia3 fu1
老弟,lau3 tai1
老妹,lau3 moi4
老妹婿,lau3 moi4 se4
大伯爺,tai4 bak5 ya2
叔仔,suk5 zai3
大姑,dai4 gu1
大舅,tai4 kiu1
老襟,lau1 kim1
子嫂,zu3 sau3
老公,lau3 gung1
老婆,lau3 po2
丈人佬,cong1 ngin1 lau3
丈人婆,cong1 ngin1 po2
家官,ga1 gon1
家娘,ga1 ngiong2
且姆,cia1 me1
繼父爺,ge4 fu1 ya2
後娭,heu4 oi1
契爺,ke4 ya2
契媽,ke4 ma2
子女,zu3 ng3
賴子,lai4 zu1
滿仔,man1 zai3
心臼,sim1 kiu1
妹子,moi4 zu1
滿女,man1 ng3
婿郎,se4 long2
孫仔,sun1 zai3
孫女,sun1 ng3
外孫,ngoi4 sun1
外孫女,ngoi4 sun1 ng3
外甥,ngoi2 sang1
外甥女,ngoi2 sang1 ng3
侄仔,cit5 zu3
侄女,cit5 ngi3
兩子爺,liong3 zu3 ya2
兩公婆,liong3 gung1 po2
兄弟,hiung1 ti4
姊妹,zi3 moi4
兩兄弟,liong3 hiung1 ti4
兩姊妹,liong3 zi3 moi4
叔伯兄弟,suk5 bak5 hiung1 ti4
表姊妹,biau3 zi3 moi4
親戚,cin1 cit5
字輩,su4 bui4
花名,fa1 miang2
做媒人,zo4 moi2 ngin2
媒人婆,moi2 ngin2 po2
定婚,tin4 fun1
娶老婆,ci3 lau3 po2
嫁老公,ga4 lau3 gung1
娶心臼,ci3 sim1 kiu1
招郎入舍,zau1 long2 ngip5 sa4
新娘公,sin1 long2 gung1
新娘,sin1 ngiong2
做酒,zo4 ziu3
妹家,moi4 ga1
番嫁,fan1 ga4
番頭嫁,fan1 teu2 ga4
再娶,cai4 ci3
大肚胈,tai4 du3 pat6
發子,bot5 zu3
損身,sun3 sin1
大肚婆,tai4 du3 po2
打斗,da3 deu3
養阿伢,yong1 o1 nga2
養唔出,yong1 m1 cut5
接生,ziap5 sang1
胞衣,bau1 yi1
孖仔,ma1 zai3
阿伢,o1 nga2
做月,zo4 ngiet6
供嬭,giung4 len4
飼飯,ci3 fan4
嬭嘴,len4 zui3
兜尿,deu1 ngiau4
瀨尿,lai2 ngiau4
擯屎,bin3 si3
短命,don3 miang4
吊頸,diau4 giang3
投河,teu2 ho2
病死嗨,piang4 si3 hoi1
過身,go4 sin1
老嗨,lau3 hoi1
做白事,zo4 pak6 su4
棺材,gon1 coi2
入殮,ngip6 liam1
送葬,sung4 zong4
溪錢,kai1 cien2
爆仗,bau4 cong4
墳頭,fun2 teu2
碑石,bi1 sak6
掛山,ga4 san1
病嗨,piang4 hoi1
難頂,lan2 din3
發燒,fat5 sau1
發冷,bot5 lang1
發呆,fat5 ngoi2
打陣冥,da3 cin3 min3
傷風,song1 fung1
發大冷,bot5 tai4 lang1
吃吃震,git6 git6 zun1
發呷,bot5 hap5
冷倒,lang1 dau3
發痧,bot5 sa1
熱氣,ngiet6 hi4
作嘔,zok5 eu1
屙屎唔出,o1 si3 m1 cut5
肚胈屙,du3 pat6 o1
唔消化,m1 siau1 fa4
頭那暈,teu2 la1 vin2
抽筋,ciu4 gin1
著驚,cok6 giang1
喊同年,ham4 tung2 ngien2
出麻仔,cut5 ma2 zai3
發死,bot5 si3
發癱風,bot5 tan1 fung1
發癆嗽,bot5 lau2 seu1
發黃腫,bot5 vong2 zung3
發痤仔,bot5 coi2 zai3
熱痱,ngiet5 mui3
長球,zong3 kiu2
貢膿,gung4 lung2
結庀,giet5 pi3
狐忽臊,fu2 fit6 sau1
大核卵,tai4 hak6 lon3
烏蠅屎,vu1 yin2 si3
雞嫲皮,gai1 ma2 pi2
蚊伏,mun1 puk6
蚊膀,mun1 pong2
發雞盲,bot5 gai1 mang2
痲瘋,ma2 fung1
迣人,ce4 ngin2
拉倒,lai3 dau3
打扽坐,da3 dun4 co1
爆趼公,bau4 gien1 gung1
看病,gon4 piang4
打脈,da3 mak5
中藥,zung1 yok6
撿藥,giam3 yok6
丸仔,yen2 zai3
藥粉,yok6 fun3
煲涼茶,bau1 liong2 ca2
見功,gien4 gung1
睡醒,soi4 siang3
亢身,hong4 sin1
洗面,se3 mien4
梳頭,so1 teu2
剃頭,tai4 teu2
做工,zo4 gung1
收工,siu1 gung1
轉屋下,zon3 vuk5 ka1
屙屎,o1 si3
屙尿,o1 ngiau4
打屁,da3 pi4
沖涼,cung1 liong2
抹身,mat5 sin1
敨涼,teu3 liong2
炙火,zak5 fo3
講水古,gong3 sui3 gu1
啄目睡,duk5 muk5 soi4
眯一下,mi1 yit5 ha4
擘囉,mak5 lo4
打哈嗤,da3 at6 ci4
迒眠床,hong2 min2 cong2
眠下,min2 ha1
睡目,soi3 muk5
烏燈,vu1 den1
睡落覺,soi4 lok5 gau4
發夢,bot5 mung4
講夢話,gong3 mung4 va4
