char,canton,waitau,searchkey,hakka1,hakka2,Notes
僵,göng1,göng1,僵göng1,giong1,,
僶,män5,mäng1 ,僶män5,men3,,
僸,gäm3,gäm1,僸gäm3,gim4,,
價,ga3,ga1,價ga3,ga4,,
僻,pik1,päk2,僻pik1,pit5,,
僽,zäu3,zäu1,僽zäu3,ziu4,,
僾,oi3,wui1,僾oi3,oi4,,
儀,yi4,yi4,儀yi4,ngi2,,
儂,nung4,nung4,儂nung4,lung2,,
儃,sim4,sim4 ,儃sim4,sam2,,
儃,tan4,tæng4,儃tan4,tan2,,
億,yik1,yäk2,億yik1,yi4,,
儆,ging2,gäng2,儆ging2,gin3,,
儇,wan4,wæng4,儇wan4,fan2,,
儈,kwui2,kwui2,儈kwui2,kai4,,
儉,gim6,gim6,儉gim6,kiam4,,
儊,co3,co1,儊co3,cu4,,
儋,dam3,dam1,儋dam3,dam4,,
儌,hiu1,hiu1,儌hiu1,hiau1,,
儐,bän1,bäng1,儐bän1,bin4,,
儑,ngam4,ngam4,儑ngam4,ngam2,,
儒,yü4,yü4,儒yü4,yi2,,
儓,toi4,töi4,儓toi4,toi2,,
儔,cäu4,cäu4,儔cäu4,ciu2,,
儕,cäi4,cäi4,儕cäi4,ce2,,同~
儕,cäi4,cäi4,儕cäi4,ha2,,(客家話人的量詞)
儗,yi5,yi1,儗yi5,ngi3,,
儘,zön6,zäng6,儘zön6,cin4,,
儜,ning4,näng4,儜ning4,len2,,
償,söng4,söng4,償söng4,song2,,
儠,lip6,lip6,儠lip6,liap6,,
儡,löi5,löi1,儡löi5,lui3,,
儢,löi6,lü6,儢löi6,li4,,
儤,bou3,bäu1,儤bou3,bau4,,
儥,yuk6,yuk6,儥yuk6,yuk5,,
儦,biu1,biu1,儦biu1,biau1,,
優,yäu1,yäu1,優yäu1,yiu2,,
儭,cän1,cäng1,儭cän1,cin4,,
儱,lung5,lung1,儱lung5,lung3,,
儲,cü5,cü1,儲cü5,su2,,
儳,cam3,cam1 ,儳cam3,cam2,,
儴,yöng4,yöng4,儴yöng4,yong2,,
儵,suk1,suk2,儵suk1,suk5,,
儷,läi6,läi6,儷läi6,li4,,
儸,lo4,lo4,儸lo4,lo2,,
儹,zan2,zæng2,儹zan2,zan3,,
儺,no4,no4,儺no4,lo2,,
儻,tong2,tong2,儻tong2,tong3,,
儼,yim6,yim6,儼yim6,ngiam3,,
儽,löi4,löi4,儽löi4,lui2,,
儿,yi4,yi4,儿yi4,yi3,,
兀,ngät6,ngäk6,兀ngät6,ngut5,,
允,wän5,wäng1 ,允wän5,yun3,,
元,yün4,yüng4,元yün4,ngien2,,
兄,hing1,häng1,兄hing1,hiung1,,
充,cung1,cung1,充cung1,cung1,,
兆,siu6,siu6,兆siu6,cau4,,
兇,hung1,hung1,兇hung1,hiung1,,
先,sin1,sing1,先sin1,sien1,,~後
