Index,Word,Glossary,EnglishGlossary,Type,Character,IPA,Rom,1st check,Remark
786_Hakka_1,786,吃早飯,Havebreakfast,Hakka_1,食朝,sit53tsau13,sit6 zau1 ,OK,
787_Hakka_1,787,午飯,Lunch,Hakka_1,晝,tsiu53,ziu4 ,OK,
788_Hakka_1,788,吃午飯,Havelunch,Hakka_1,食晝,sit53tsiu53,sit6 ziu4 ,OK,
789_Hakka_1,789,晚飯,Dinner,Hakka_1,夜,ja53,ya4 ,OK,
790_Hakka_1,790,吃晚飯,Have dinner,Hakka_1,食夜,sit53ja53,sit6 ya4 ,OK,
791_Hakka_1,791,盛飯,Tofillabowlwithrice,Hakka_1,舀飯,jau31fan53,yau3 fan4 ,OK,
792_Hakka_1,792,豬肉,Pork,Hakka_1,豬肉,tsu13>35ȵiuk31,zu1 ngiuk5 ,OK,
793_Hakka_1,793,瘦肉,Leanmeat,Hakka_1,瘦肉,sɛu53>55ȵiuk31,seu4 ngiuk5 ,OK,
793_Hakka_2,793,瘦肉,Leanmeat,Hakka_2,精豬肉,tsiaŋ13tsu13>35ȵiuk31,ziang1 zu1 ngiuk5 ,OK,
794_Hakka_1,794,臘肉,Bacon,Hakka_1,臘肉,lap53ȵiuk31,lap6 ngiuk5 ,OK,
795_Hakka_1,795,菜(佐飯統稱),Dish,Hakka_1,菜,tsʰɔi53,coi4 ,OK,
796_Hakka_1,796,葷菜,Meatdishes,Hakka_1,葷,fun13,fun1 ,OK,
797_Hakka_1,797,素菜,Vegetariandishes,Hakka_1,齋,tsai13,zai1 ,OK,
798_Hakka_1,798,湯,Soup,Hakka_1,順,sun53,sun4 ,OK,
799_Hakka_1,799,豬腳(前後腳有無別),Pigtrotter,Hakka_1,豬蹄,tsu13>35tʰai11,zu1 tai2 ,OK,
800_Hakka_1,800,豬肝,Pig’sliver,Hakka_1,豬肝,tsu13kɔn13,zu1 gon1 ,OK,
801_Hakka_1,801,豬舌頭,Pig’stongue,Hakka_1,豬舌嫲,tsu13sɛt53ma11,zu1 set6 ma2 ,OK,
802_Hakka_1,802,豬血,Bloodofpig,Hakka_1,豬紅,tsu13>35fuŋ11,zu1 fung2 ,OK,
802_Hakka_2,802,豬血,Bloodofpig,Hakka_2,豬旺,tsu13vɔŋ53,zu1 vong4 ,OK,
803_Hakka_1,803,(雞)下水(雞內雜),Internal organs of chicken,Hakka_1,下水,ha53>55sui31,ha4 sui3 ,OK,
804_Hakka_1,804,夾菜,Pick up food with chopsticks,Hakka_1,夾菜,kap31tsʰɔi53,gap5 coi4 ,OK,
